value,type,id
-0.114442697,No load,101
0.274267307,No load,102
0.019536806,No load,103
0.353930629,No load,104
0.141648501,No load,105
0.02582117,No load,106
-0.320170033,No load,107
0.099778384,No load,108
-0.248271933,No load,109
0.032546552,No load,110
-0.024298577,No load,111
0.081240485,No load,112
0.639379955,No load,113
-0.334083186,No load,114
-0.142230512,No load,115
-0.37236082,No load,116
0.363497809,No load,117
0.00571642,No load,118
-0.333879049,No load,119
-0.386669134,No load,120
-0.213669648,No load,121
0.500635753,No load,122
-0.179273346,No load,123
0.019183384,No load,124
-0.230179821,No load,125
-0.041296264,No load,126
0.031759901,No load,127
-0.095252076,No load,128
0.408575874,No load,129
0.027938252,Load,101
-0.017922631,Load,102
-0.250262554,Load,103
0.107172235,Load,104
0.019955929,Load,105
0.133924602,Load,106
-0.409589492,Load,107
-0.023884603,Load,108
-0.458142906,Load,109
0.054421164,Load,110
-0.265231967,Load,111
-0.238409481,Load,112
0.742004636,Load,113
-0.440980251,Load,114
-0.138824074,Load,115
-0.465997956,Load,116
0.292180492,Load,117
-0.09150311,Load,118
-0.609563557,Load,119
-0.299958664,Load,120
-0.169043735,Load,121
0.41173118,Load,122
-0.327758719,Load,123
-0.127075321,Load,124
0.079749315,Load,125
-0.026612502,Load,126
-0.088211713,Load,127
-0.289771405,Load,128
0.233094031,Load,129
