id;simrun;trial;choice1;choice2;s2;win;common;stay;rt1;rt2
1;1;1;1;1;1;0;1;0;1;1
1;1;2;1;2;2;1;0;1;1;1
1;1;3;2;2;1;1;0;0;1;1
1;1;4;1;2;2;0;0;0;1;1
1;1;5;1;1;1;0;1;1;1;1
1;1;6;1;2;1;1;1;1;1;1
1;1;7;1;2;2;0;0;1;1;1
1;1;8;2;2;2;0;1;0;1;1
1;1;9;2;1;2;1;1;1;1;1
1;1;10;2;2;1;1;0;1;1;1
1;1;11;2;2;1;1;0;1;1;1
1;1;12;2;2;1;1;0;1;1;1
1;1;13;2;1;2;0;1;1;1;1
1;1;14;2;1;2;0;1;1;1;1
1;1;15;2;2;2;1;1;1;1;1
1;1;16;1;2;1;0;1;0;1;1
1;1;17;2;2;2;0;1;0;1;1
1;1;18;1;2;1;1;1;0;1;1
1;1;19;2;1;2;1;1;0;1;1
1;1;20;1;2;1;1;1;0;1;1
1;1;21;1;2;1;1;1;1;1;1
1;1;22;1;1;2;1;0;1;1;1
1;1;23;2;1;2;1;1;0;1;1
1;1;24;1;1;2;0;0;0;1;1
1;1;25;2;2;1;1;0;0;1;1
1;1;26;2;1;2;1;1;1;1;1
1;1;27;2;2;1;1;0;1;1;1
1;1;28;2;1;2;0;1;1;1;1
1;1;29;2;1;1;1;0;1;1;1
1;1;30;2;2;2;1;1;1;1;1
1;1;31;2;2;2;0;1;1;1;1
1;1;32;2;2;2;0;1;1;1;1
1;1;33;2;2;2;0;1;1;1;1
1;1;34;1;1;1;0;1;0;1;1
1;1;35;1;2;1;1;1;1;1;1
1;1;36;1;2;1;0;1;1;1;1
1;1;37;1;2;1;1;1;1;1;1
1;1;38;1;2;1;0;1;1;1;1
1;1;39;2;1;2;1;1;0;1;1
1;1;40;2;1;2;1;1;1;1;1
1;1;41;2;1;2;1;1;1;1;1
1;1;42;2;1;2;0;1;1;1;1
1;1;43;2;1;2;1;1;1;1;1
1;1;44;2;1;2;0;1;1;1;1
1;1;45;2;1;2;0;1;1;1;1
1;1;46;2;2;2;0;1;1;1;1
1;1;47;1;2;1;1;1;0;1;1
1;1;48;1;2;1;1;1;1;1;1
1;1;49;1;1;2;0;0;1;1;1
1;1;50;1;2;1;0;1;1;1;1
1;1;51;1;2;1;1;1;1;1;1
1;1;52;1;2;1;1;1;1;1;1
1;1;53;1;1;2;1;0;1;1;1
1;1;54;2;1;2;1;1;0;1;1
1;1;55;2;2;1;1;0;1;1;1
1;1;56;2;1;2;0;1;1;1;1
1;1;57;1;2;1;0;1;0;1;1
1;1;58;2;1;2;1;1;0;1;1
1;1;59;2;1;2;1;1;1;1;1
1;1;60;2;2;1;0;0;1;1;1
1;1;61;2;1;2;1;1;1;1;1
1;1;62;1;2;1;1;1;0;1;1
1;1;63;2;1;2;0;1;0;1;1
1;1;64;2;2;1;1;0;1;1;1
1;1;65;1;2;1;1;1;0;1;1
1;1;66;1;2;1;0;1;1;1;1
1;1;67;1;1;2;1;0;1;1;1
1;1;68;1;1;2;1;0;1;1;1
1;1;69;1;1;2;0;0;1;1;1
1;1;70;2;1;2;1;1;0;1;1
1;1;71;1;2;1;1;1;0;1;1
1;1;72;1;2;1;1;1;1;1;1
1;1;73;1;2;1;1;1;1;1;1
1;1;74;1;2;1;1;1;1;1;1
1;1;75;1;1;2;0;0;1;1;1
1;1;76;1;1;2;0;0;1;1;1
1;1;77;1;1;1;0;1;1;1;1
1;1;78;1;2;1;1;1;1;1;1
1;1;79;1;2;1;1;1;1;1;1
1;1;80;1;2;1;0;1;1;1;1
